TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.106870,"7,78,910","1,380","24,000","2,498","7,50,809","3,877","7,78,910","1,380"
2022-02-09 16:45:34.686177,"7,79,971","1,061","21,470","2,530","7,54,399","3,590","7,79,971","1,061"
2022-02-10 23:07:24.578948,"7,80,836",865,"19,850","1,620","7,56,883","2,484","7,80,836",865
2022-02-11 11:39:27.875219,"7,81,603",767,"17,754","2,096","7,59,744","2,861","7,81,603",767
2022-02-12 13:56:49.104734,"7,82,336",733,"15,636","2,118","7,62,594","2,850","7,82,336",733
2022-02-14 10:36:49.045289,"7,83,448",429,"11,681","1,993","7,67,660","2,421","7,83,448",429
2022-02-15 09:55:38.656855,"7,84,062",614,"9,908","1,773","7,70,047","2,387","7,84,062",614
2022-03-05 09:34:30.795884,"7,89,553",152,"2,164",222,"7,83,278",374,"7,89,553",152
2022-03-05 09:34:56.665856,"7,89,553",152,"2,164",222,"7,83,278",374,"7,89,553",152
