TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.103879,"12,68,308","1,497","17,957","2,144","12,41,597","3,621","12,68,308","1,497"
2022-02-09 16:45:34.684184,"12,69,811","1,503","16,010","1,947","12,45,026","3,429","12,69,811","1,503"
2022-02-10 23:07:24.576953,"12,71,523","1,712","14,574","1,436","12,48,152","3,126","12,71,523","1,712"
2022-02-11 11:39:27.873225,"12,73,003","1,480","12,754","1,820","12,51,431","3,279","12,73,003","1,480"
2022-02-12 13:56:49.101741,"12,74,575","1,572","11,823",931,"12,53,914","2,483","12,74,575","1,572"
2022-02-14 10:36:49.041300,"12,77,262","1,148","10,538",719,"12,57,840","1,845","12,77,262","1,148"
2022-02-15 09:55:38.651868,"12,78,121",859,"9,421","1,117","12,59,796","1,956","12,78,121",859
2022-03-05 09:34:30.791905,"12,85,615",128,"1,505",141,"12,75,019",263,"12,85,615",128
2022-03-05 09:34:56.624964,"12,85,615",128,"1,505",141,"12,75,019",263,"12,85,615",128
