TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.109862,"1,35,010",148,"3,659",127,"1,29,285",272,"1,35,010",148
2022-02-09 16:45:34.690167,"1,35,170",160,"3,604",55,"1,29,494",209,"1,35,170",160
2022-02-10 23:07:24.582936,"1,35,358",188,"3,555",49,"1,29,729",235,"1,35,358",188
2022-02-11 11:39:27.880206,"1,35,530",172,"2,397","1,158","1,31,058","1,329","1,35,530",172
2022-02-12 13:56:49.109724,"1,35,638",108,"2,345",52,"1,31,216",158,"1,35,638",108
2022-02-14 10:36:49.050276,"1,35,838",90,"2,269",52,"1,31,486",139,"1,35,838",90
2022-02-15 09:55:38.661841,"1,35,930",92,"2,209",60,"1,31,637",151,"1,35,930",92
