TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.112856,"11,241",25,148,4,"11,041",29,"11,241",25
2022-02-09 16:45:34.693158,"11,259",18,144,4,"11,063",22,"11,259",18
2022-02-10 23:07:24.586925,"11,266",7,112,32,"11,102",39,"11,266",7
2022-02-11 11:39:27.883199,"11,272",6,98,14,"11,122",20,"11,272",6
2022-02-12 13:56:49.113710,"11,286",14,89,9,"11,145",23,"11,286",14
2022-02-14 10:36:49.053270,"11,319",23,84,7,"11,183",16,"11,319",23
2022-02-15 09:55:38.665831,"11,331",12,91,7,"11,188",5,"11,331",12
