TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.109862,"1,88,109","2,224","13,991",15,"1,73,495","2,239","1,88,109","2,224"
2022-02-09 16:45:34.689168,"1,89,915","1,806","13,385",606,"1,75,904","2,409","1,89,915","1,806"
2022-02-10 23:07:24.581938,"1,91,726","1,811","13,024",361,"1,78,071","2,167","1,91,726","1,811"
2022-02-11 11:39:27.879210,"1,93,367","1,641","12,686",338,"1,80,048","1,977","1,93,367","1,641"
2022-02-12 13:56:49.108724,"1,95,189","1,822","12,623",63,"1,81,931","1,883","1,95,189","1,822"
2022-02-14 10:36:49.049280,"1,96,997",577,"11,845",271,"1,84,516",848,"1,96,997",577
