TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.105872,"10,09,698","3,945","40,591","4,187","9,58,443","8,130","10,09,698","3,945"
2022-02-09 16:45:34.685179,"10,12,781","3,083","37,143","3,448","9,64,970","6,527","10,12,781","3,083"
2022-02-10 23:07:24.577950,"10,16,007","3,226","33,384","3,759","9,71,950","6,980","10,16,007","3,226"
2022-02-11 11:39:27.874223,"10,18,749","2,742","29,565","3,819","9,78,505","6,555","10,18,749","2,742"
2022-02-12 13:56:49.103738,"10,21,361","2,612","26,179","3,386","9,84,500","5,995","10,21,361","2,612"
2022-02-14 10:36:49.044294,"10,25,891","2,092","19,728","2,662","9,95,470","4,750","10,25,891","2,092"
2022-02-15 09:55:38.654859,"10,27,651","1,760","16,929","2,799","10,00,025","4,555","10,27,651","1,760"
