TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.108864,"2,42,659",221,"4,377",287,"2,34,534",500,"2,42,659",221
2022-02-09 16:45:34.689168,"2,43,128",469,"3,930",447,"2,35,444",910,"2,43,128",469
2022-02-10 23:07:24.581938,"2,43,387",259,"3,528",402,"2,36,099",655,"2,43,387",259
2022-02-11 11:39:27.878213,"2,43,683",296,"3,202",326,"2,36,717",618,"2,43,683",296
2022-02-12 13:56:49.107726,"2,43,884",201,"2,804",398,"2,37,312",595,"2,43,884",201
2022-02-14 10:36:49.048300,"2,44,172",131,"2,333",155,"2,38,066",282,"2,44,172",131
