TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.103879,"18,45,084","1,151","7,885",984,"18,11,201","2,120","18,45,084","1,151"
2022-02-09 16:45:34.684184,"18,46,198","1,114","6,908",977,"18,13,280","2,079","18,46,198","1,114"
2022-02-10 23:07:24.576953,"18,47,515","1,317","6,304",604,"18,15,188","1,908","18,47,515","1,317"
2022-02-11 11:39:27.872227,"18,48,619","1,104","5,438",866,"18,17,146","1,958","18,48,619","1,104"
2022-02-12 13:56:49.101741,"18,49,596",977,"4,812",626,"18,18,737","1,591","18,49,596",977
2022-02-14 10:36:49.040304,"18,51,320",804,"3,926",405,"18,21,322","1,197","18,51,320",804
2022-02-15 09:55:38.651868,"18,51,906",586,"3,416",510,"18,22,414","1,092","18,51,906",586
2022-03-05 09:39:07.581978,"18,61,189",302,"1,466",122,"18,33,589",420,"18,61,189",302
