TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.111858,"63,619",140,"1,443",156,"61,884",295,"63,619",140
2022-02-09 16:45:34.691165,"63,724",105,"1,254",189,"62,178",294,"63,724",105
2022-02-10 23:07:24.584930,"63,814",90,"1,131",123,"62,390",212,"63,814",90
2022-02-11 11:39:27.881204,"63,890",76,978,153,"62,619",229,"63,890",76
2022-02-12 13:56:49.110719,"63,940",50,850,128,"62,796",177,"63,940",50
2022-02-14 10:36:49.051275,"64,004",22,629,66,"63,081",88,"64,004",22
2022-02-15 09:55:38.663835,"64,066",62,539,90,"63,233",152,"64,066",62
