TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.110860,"90,811",96,"1,323",248,"88,347",342,"90,811",96
2022-02-09 16:45:34.691165,"90,896",85,"1,252",71,"88,501",154,"90,896",85
2022-02-10 23:07:24.583933,"91,019",123,"1,011",241,"88,864",363,"91,019",123
2022-02-11 11:39:27.881204,"91,114",95,816,195,"89,152",288,"91,114",95
2022-02-12 13:56:49.110719,"91,209",95,728,88,"89,332",180,"91,209",95
2022-02-14 10:36:49.051275,"91,338",42,623,63,"89,563",104,"91,338",42
