TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.104876,"11,40,467","1,292","13,706","2,902","11,12,810","4,180","11,40,467","1,292"
2022-02-09 16:45:34.685179,"11,41,767","1,300","11,426","2,280","11,16,380","3,570","11,41,767","1,300"
2022-02-10 23:07:24.577950,"11,42,986","1,219","10,595",831,"11,18,420","2,040","11,42,986","1,219"
2022-02-11 11:39:27.874223,"11,43,994","1,008","9,897",698,"11,20,119","1,699","11,43,994","1,008"
2022-02-12 13:56:49.103738,"11,44,940",946,"8,464","1,433","11,22,488","2,369","11,44,940",946
2022-02-14 10:36:49.043295,"11,46,273",579,"7,909",286,"11,24,358",860,"11,46,273",579
