TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.107869,"4,30,163",624,"12,969","3,440","4,09,574","4,062","4,30,163",624
2022-02-09 16:45:34.688171,"4,30,935",772,"10,926","2,043","4,12,381","2,807","4,30,935",772
2022-02-10 23:07:24.580941,"4,31,648",713,"9,479","1,447","4,14,536","2,155","4,31,648",713
2022-02-11 11:39:27.878213,"4,32,364",716,"8,839",640,"4,15,890","1,354","4,32,364",716
2022-02-12 13:56:49.106730,"4,32,874",510,"7,993",846,"4,17,238","1,348","4,32,874",510
2022-02-14 10:36:49.047284,"4,33,607",286,"7,514",300,"4,18,442",580,"4,33,607",286
2022-02-15 09:55:38.659848,"4,33,768",161,"7,584",70,"4,18,531",89,"4,33,768",161
