TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.106870,"7,21,937",557,"8,435","1,266","7,06,931","1,813","7,21,937",557
2022-02-09 16:45:34.687174,"7,22,368",431,"7,612",823,"7,08,177","1,246","7,22,368",431
2022-02-10 23:07:24.579945,"7,22,683",315,"6,382","1,230","7,09,716","1,539","7,22,683",315
2022-02-11 11:39:27.876220,"7,22,977",294,"5,768",614,"7,10,619",903,"7,22,977",294
2022-02-12 13:56:49.105733,"7,23,244",267,"5,263",505,"7,11,385",766,"7,23,244",267
