TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.108864,"2,77,236",714,"5,431",849,"2,67,754","1,555","2,77,236",714
2022-02-09 16:45:34.688171,"2,77,998",762,"4,812",619,"2,69,126","1,372","2,77,998",762
2022-02-10 23:07:24.581938,"2,78,651",653,"4,421",391,"2,70,169","1,043","2,78,651",653
2022-02-11 11:39:27.878213,"2,79,198",547,"4,344",77,"2,70,787",618,"2,79,198",547
2022-02-12 13:56:49.107726,"2,79,697",499,"4,132",212,"2,71,489",702,"2,79,697",499
2022-02-14 10:36:49.048300,"2,80,269",163,"3,808",178,"2,72,378",338,"2,80,269",163
2022-02-15 09:55:38.660845,"2,80,648",379,"3,416",392,"2,73,149",771,"2,80,648",379
