TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.103879,"12,47,480","2,298","40,880","5,013","11,97,209","7,299","12,47,480","2,298"
2022-02-09 16:45:34.684184,"12,50,891","3,411","37,278","3,602","12,04,206","6,997","12,50,891","3,411"
2022-02-10 23:07:24.576953,"12,54,619","3,728","33,812","3,466","12,11,383","7,177","12,54,619","3,728"
2022-02-11 11:39:27.873225,"12,58,110","3,491","29,530","4,282","12,19,141","7,758","12,58,110","3,491"
2022-02-12 13:56:49.102739,"12,61,000","2,890","25,779","3,751","12,25,773","6,632","12,61,000","2,890"
2022-02-14 10:36:49.041300,"12,65,783","2,177","21,064","2,340","12,35,256","4,510","12,65,783","2,177"
2022-02-15 09:55:38.652865,"12,66,885","1,102","18,982","2,082","12,38,434","3,178","12,66,885","1,102"
