TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.107869,"4,31,905",280,"2,421",195,"4,24,171",473,"4,31,905",280
2022-02-09 16:45:34.688171,"4,32,169",264,"2,272",149,"4,24,583",412,"4,32,169",264
2022-02-10 23:07:24.580941,"4,32,487",318,"2,227",45,"4,24,946",363,"4,32,487",318
2022-02-11 11:39:27.877217,"4,32,748",261,"2,088",139,"4,25,346",400,"4,32,748",261
2022-02-12 13:56:49.106730,"4,32,954",206,"1,968",120,"4,25,672",326,"4,32,954",206
2022-02-14 10:36:49.047284,"4,33,258",124,"1,620",247,"4,26,324",371,"4,33,258",124
2022-02-15 09:55:38.659848,"4,33,415",157,"1,478",142,"4,26,622",298,"4,33,415",157
2022-03-05 09:34:30.798876,"4,34,516",20,266,55,"4,28,935",75,"4,34,516",20
2022-03-05 09:34:56.698768,"4,34,516",20,266,55,"4,28,935",75,"4,34,516",20
