TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.109862,"1,64,376",190,"3,689",463,"1,58,737",651,"1,64,376",190
2022-02-09 16:45:34.689168,"1,64,562",186,"3,428",261,"1,59,181",444,"1,64,562",186
2022-02-10 23:07:24.582936,"1,64,760",198,"3,086",342,"1,59,719",538,"1,64,760",198
2022-02-11 11:39:27.879210,"1,64,922",162,"2,506",580,"1,60,460",741,"1,64,922",162
2022-02-12 13:56:49.108724,"1,65,071",149,"1,993",513,"1,61,121",661,"1,65,071",149
