TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.102880,"20,46,920","2,403","26,725","1,431","19,96,865","3,822","20,46,920","2,403"
2022-02-09 16:45:34.683186,"20,48,841","1,921","23,180","3,545","20,02,318","5,453","20,48,841","1,921"
2022-02-10 23:07:24.575955,"20,50,897","2,056","20,065","3,115","20,07,473","5,155","20,50,897","2,056"
2022-02-11 11:39:27.871230,"20,53,218","2,321","18,016","2,049","20,11,830","4,357","20,53,218","2,321"
2022-02-12 13:56:49.100744,"20,54,995","1,777","16,640","1,376","20,14,973","3,143","20,54,995","1,777"
2022-02-14 10:36:49.039306,"20,58,167","1,426","14,214","1,062","20,20,555","2,481","20,58,167","1,426"
