TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.105872,"8,27,547",235,"2,355",96,"8,12,953",328,"8,27,547",235
2022-02-09 16:45:34.686177,"8,27,820",273,"2,024",331,"8,13,553",600,"8,27,820",273
2022-02-10 23:07:24.578948,"8,28,101",281,"1,816",208,"8,14,041",488,"8,28,101",281
2022-02-11 11:39:27.875219,"8,28,348",247,"1,660",156,"8,14,443",402,"8,28,348",247
2022-02-12 13:56:49.104734,"8,28,584",236,"1,421",239,"8,14,917",474,"8,28,584",236
2022-02-14 10:36:49.045289,"8,28,951",193,"1,275",72,"8,15,425",265,"8,28,951",193
2022-02-15 09:55:38.656855,"8,29,050",99,"1,224",51,"8,15,574",149,"8,29,050",99
2022-03-05 09:34:30.795884,"8,30,227",30,225,34,"8,17,747",64,"8,30,227",30
2022-03-05 09:34:56.659870,"8,30,227",30,225,34,"8,17,747",64,"8,30,227",30
