TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.110860,"92,363",62,"1,339",123,"89,476",183,"92,363",62
2022-02-09 16:45:34.691165,"92,521",158,"1,208",131,"89,761",285,"92,521",158
2022-02-10 23:07:24.583933,"92,646",125,"1,098",110,"89,994",233,"92,646",125
2022-02-11 11:39:27.881204,"92,766",120,"1,020",78,"90,188",194,"92,766",120
2022-02-12 13:56:49.110719,"92,847",81,928,92,"90,360",172,"92,847",81
