TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.110860,"1,00,697",34,596,152,"99,182",185,"1,00,697",34
2022-02-09 16:45:34.690167,"1,00,715",18,535,61,"99,261",79,"1,00,715",18
2022-02-10 23:07:24.583933,"1,00,739",24,375,160,"99,445",184,"1,00,739",24
2022-02-11 11:39:27.880206,"1,00,761",22,307,68,"99,535",90,"1,00,761",22
2022-02-12 13:56:49.109724,"1,00,778",17,256,51,"99,603",68,"1,00,778",17
2022-02-14 10:36:49.050276,"1,00,794",4,157,49,"99,718",53,"1,00,794",4
2022-02-15 09:55:38.662838,"1,00,803",9,151,6,"99,733",15,"1,00,803",9
2022-03-05 09:34:30.801868,"1,00,868",2,10,4,"99,939",6,"1,00,868",2
2022-03-05 09:34:56.741657,"1,00,868",2,10,4,"99,939",6,"1,00,868",2
