TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.111858,"34,927",71,691,7,"33,490",75,"34,927",71
2022-02-09 16:45:34.692160,"34,986",59,668,23,"33,571",81,"34,986",59
2022-02-10 23:07:24.585932,"35,038",52,581,87,"33,708",137,"35,038",52
2022-02-11 11:39:27.882202,"35,082",44,549,32,"33,784",76,"35,082",44
2022-02-12 13:56:49.111719,"35,117",35,509,40,"33,858",74,"35,117",35
2022-02-14 10:36:49.052271,"35,196",23,465,38,"33,979",59,"35,196",23
2022-02-15 09:55:38.664833,"35,235",39,434,31,"34,049",70,"35,235",39
