TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.101883,"34,15,986","5,104","1,05,892","15,936","32,72,322","21,027","34,15,986","5,104"
2022-02-09 16:45:34.682188,"34,20,505","4,519","90,137","15,755","32,92,559","20,237","34,20,505","4,519"
2022-02-10 23:07:24.574958,"34,24,476","3,971","77,607","12,530","33,09,032","16,473","34,24,476","3,971"
2022-02-11 11:39:27.870234,"34,28,068","3,592","66,992","10,615","33,23,214","14,182","34,28,068","3,592"
2022-02-12 13:56:49.099749,"34,31,154","3,086","56,002","10,990","33,37,265","14,051","34,31,154","3,086"
2022-02-14 10:36:49.039306,"34,36,262","2,296","41,699","5,944","33,56,648","8,229","34,36,262","2,296"
2022-02-15 09:55:38.648875,"34,37,896","1,634","35,951","5,748","33,64,013","7,365","34,37,896","1,634"
