TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.105872,"9,66,094","1,231","11,802","2,334","9,43,876","3,544","9,66,094","1,231"
2022-02-09 16:45:34.686177,"9,67,397","1,303","10,222","1,580","9,46,742","2,866","9,67,397","1,303"
2022-02-10 23:07:24.578948,"9,68,886","1,489","8,777","1,445","9,49,662","2,920","9,68,886","1,489"
2022-02-11 11:39:27.875219,"9,70,326","1,440","7,889",888,"9,51,975","2,313","9,70,326","1,440"
2022-02-12 13:56:49.103738,"9,71,511","1,185","7,039",850,"9,54,000","2,025","9,71,511","1,185"
2022-02-14 10:36:49.044294,"9,73,522",838,"6,574",315,"9,56,462","1,146","9,73,522",838
2022-02-15 09:55:38.655857,"9,74,273",751,"5,847",727,"9,57,934","1,472","9,74,273",751
