TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.100888,"39,02,309","6,151","87,114","10,700","37,75,799","16,802","39,02,309","6,151"
2022-02-09 16:45:34.682188,"39,06,761","4,452","72,448","14,666","37,94,866","19,067","39,06,761","4,452"
2022-02-10 23:07:24.574958,"39,12,100","5,339","60,990","11,458","38,11,615","16,749","39,12,100","5,339"
2022-02-11 11:39:27.869237,"39,17,119","5,019","52,047","8,943","38,25,538","13,923","39,17,119","5,019"
