TimeStamp,TOTAL_CASES,TOTAL_NEW_CASES,ACTIVE_CASES,NEW_ACTIVE_CASES,TOTAL_DISCHARGED,NEW_DISCHARGED,TOTAL_DEATHS,NEW_DEATHS
2022-02-08 21:24:44.112856,"26,992",50,882,105,"25,884",155,"26,992",50
2022-02-09 16:45:34.692160,"27,062",70,773,109,"26,063",179,"27,062",70
2022-02-10 23:07:24.585932,"27,148",86,696,77,"26,226",163,"27,148",86
2022-02-11 11:39:27.883199,"27,279",131,670,26,"26,383",157,"27,279",131
2022-02-12 13:56:49.112713,"27,339",60,583,87,"26,530",147,"27,339",60
2022-02-14 10:36:49.052271,"27,477",77,537,33,"26,714",110,"27,477",77
2022-02-15 09:55:38.665831,"27,536",59,522,15,"26,787",73,"27,536",59
